artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,review_status,notes
BO-README-001,README.md,packet_readme,readiness_boundary,concept_only,,none,self_checked,"Declares L2 planning status while blocking build-ready claims."
BO-DESIGN-001,design.md,design_brief,mechanism_scaffold,concept_only,,none,self_checked,"Subsystem plan and parametric intent only; contains no dimensions tuning values wind-pressure values CAD geometry or DXF coordinates."
BO-BOM-001,bom.csv,bom_table,parts_family_estimate,pending_measurement,design.md,estimate_labels_only,self_checked,"Estimated part families only; all physical specifications remain pending."
BO-CUT-001,cut-list.csv,cut_list,planning_cut_scaffold,pending_measurement,design.md,estimate_labels_only,self_checked,"Cut-list scaffold only; stock sizes operations and counts are pending measurement."
BO-CAD-LOG-001,cad/mcp-session-log.md,provenance_log,mcp_log,concept_only,decision-record.md,none,self_checked,"Documents that no MCP CAD image or creative-tool session produced artifacts."
BO-DECISION-001,decision-record.md,decision_record,open_questions,concept_only,user_request,none,self_checked,"Records qmd Step 0 behavior L2 uplift decisions open questions and measurement gates."
BO-CAD-PLAN-001,cad/barrel-organ.scad,cad_source_planned,future_parametric_cad,pending_measurement,design.md,planned_missing_artifact,unreviewed,"Future CAD source only; not present and not implied by this L2 packet."
BO-DXF-PLAN-001,drawings/barrel-program-layout.dxf,dxf_export_planned,future_barrel_template,pending_measurement,BO-CAD-PLAN-001,planned_missing_artifact,unreviewed,"Future DXF only after measured barrel follower pallet and tune-program authority exist."
BO-TABLE-PLAN-001,tables/pipe-scale.csv,design_table_planned,future_pipe_scale_table,pending_measurement,design.md,planned_missing_artifact,unreviewed,"Future measured or reviewed pipe-scale table; no tuning or pipe-length numbers are supplied."
BO-WL-STARTER-001,barrel-organ-starter.wl,wolfram_starter,source_entrypoint,reference_only,wolfram/barrel-organ-wolfram-model.wl,none,self_checked,"Thin Wolfram entry point; source only and not fabrication authority."
BO-WL-MODEL-001,wolfram/barrel-organ-wolfram-model.wl,wolfram_model,parametric_symbolic_acoustic_mechanism_model,reference_only,design.md,estimate_relationships_only,self_checked,"Hand-authored Wolfram 14.3 pinned-barrel windchest and pipe-rank relationship model; every physical number is an estimate pending measurement."
BO-PARAM-001,parametric-design-table.md,design_table,symbolic_relationship_table,pending_measurement,design.md,estimate_relationships_only,self_checked,"Symbolic-only relationship table; every row Authority=pending_measurement; no numeric barrel/pallet/windchest values present."
BO-RISKS-001,risks.md,risk_summary,risk_digest,concept_only,risk-FMEA.md,none,self_checked,"V5-baseline risk digest; full qualitative FMEA table lives in risk-FMEA.md."
BO-VAL-001,validation.csv,measurement_template,measurement_template,pending_measurement,measurement-and-validation-protocol.md,estimate_labels_only,self_checked,"Promotion-matrix rows as CSV gates; tolerance/measured/result cells are pending_measurement/TBD until mule evidence exists."
BO-SRC-001,sourcing.csv,sourcing,sourcing,pending_measurement,bom.csv,estimate_labels_only,self_checked,"Spec-first sourcing rows keyed to bom.csv part-family IDs; no live prices or lead times checked."
BO-DRAW-001,drawing-brief.md,drawing_brief,drawing_topology_only,concept_only,subsystem-interface-spec.md,no_dimension_claim,self_checked,"Witness/mule sketch topology only per assembly-sequence.md; carries no dimensioned build geometry."
BO-CAD-README-001,cad/README.md,cad_notes,no_scad_rationale,concept_only,parametric-design-table.md,none,self_checked,"Documents why no cad/barrel-organ.scad master was authored this pass: design tables are symbolic-only, no numeric barrel/pallet/windchest schedule exists."
